1 1:-1 2:1 3:-1 4:-1 5:-1 6:-1 7:0.275583 8:0.280236 9:0.248703 10:0.280759 11:0.215517 12:0.237569 13:0.270409 14:0.246138 15:0.229137 16:0.282903 17:0.288916 18:0.28404 19:0.293838 20:0.272862 21:0.238649 22:0.236651 23:0.253706 24:0.228893 25:0.259317 26:0.27853 27:0.261396 28:0.374779 29:0.351619 30:0.0722017 31:0.218083 32:0.282612 33:0.28353 34:0.245866 35:0.25262 36:0.248486 37:0.339074 38:0.323226 39:0.291503 40:0.297795 41:0.252464 42:0.190677 43:0.202097 44:0.00810435 45:-0.0351766 46:-0.061602 47:-0.269665 48:-0.175651 49:-0.387976 50:-0.920703 51:0.34548 52:0.390605 53:0.348034 54:0.328061 55:0.296622 56:0.30581 57:0.268637 58:0.295182 59:0.316329 60:0.0250473 61:-0.012689 62:-0.0414252 63:-0.253247 64:-0.196089 65:-0.561528 66:-0.852887 67:0.381644 68:0.381887 69:0.318509 70:0.296084 71:0.264452 72:0.275883 73:0.241357 74:0.202143 75:0.216906 76:-0.0214818 77:-0.205676 78:-0.12975 79:-0.376025 80:-0.404633 81:-0.773825 82:-0.665657 83:0.48508 84:0.448949 85:0.138819 86:0.112491 87:0.0786916 88:0.0866403 89:0.0510756 90:-0.0022122 91:-0.0040707 92:-0.291223 93:-0.487375 94:-0.439068 95:-0.680649 96:-0.69107 97:-0.583849 98:-0.180902 99:0.572314 100:0.48014 101:-0.0937631 102:-0.117225 103:-0.146527 104:-0.139575 105:-0.169796 106:-0.231011 107:-0.232566 108:-0.581179 109:-0.719571 110:-0.68023 111:-0.853138 112:-0.719575 113:-0.45958 114:-0.049492 115:0.526424 116:0.384288
-1 1:1 2:-1 3:-1 4:-1 5:-1 6:-1 7:0.280236 8:0.248703 9:0.280759 10:0.215517 11:0.237569 12:0.270409 13:0.246138 14:0.229137 15:0.282903 16:0.288916 17:0.28404 18:0.293838 19:0.272862 20:0.238649 21:0.236651 22:0.253706 23:0.228893 24:0.259317 25:0.27853 26:0.261396 27:0.374779 28:0.351619 29:0.0722017 30:0.218083 31:0.282612 32:0.28353 33:0.245866 34:0.25262 35:0.248486 36:0.309174 37:0.323226 38:0.291503 39:0.297795 40:0.252464 41:0.295936 42:0.199143 43:0.253455 44:-0.0438298 45:-0.0319176 46:-0.0137018 47:-0.288643 48:-0.219769 49:-0.452162 50:-0.824788 51:0.347902 52:0.42346 53:0.328061 54:0.296622 55:0.30581 56:0.268637 57:0.321714 58:0.308453 59:0.366137 60:-0.0401763 61:0.000877742 62:-0.011739 63:-0.271147 64:-0.257833 65:-0.622331 66:-0.729938 67:0.383819 68:0.38708 69:0.296084 70:0.264452 71:0.275883 72:0.241356 73:0.29918 74:0.21267 75:0.257231 76:-0.0856442 77:-0.195634 78:-0.124437 79:-0.39707 80:-0.467823 81:-0.812884 82:-0.53412 83:0.48109 84:0.454894 85:0.112463 86:0.0786946 87:0.0866615 88:0.0510721 89:0.103332 90:0.000369514 91:0.0242624 92:-0.358362 93:-0.483719 94:-0.44524 95:-0.69738 96:-0.738911 97:-0.587751 98:-0.0673707 99:0.564109 100:0.485404 101:-0.116937 102:-0.146295 103:-0.139393 104:-0.169695 105:-0.124412 106:-0.229167 107:-0.209113 108:-0.636387 109:-0.713153 110:-0.682443 111:-0.859726 112:-0.749325 113:-0.452403 114:0.0464159 115:0.514756 116:0.38374
1 1:-1 2:-1 3:-1 4:-1 5:-1 6:1 7:0.248703 8:0.280759 9:0.215517 10:0.237569 11:0.270409 12:0.246138 13:0.229137 14:0.282903 15:0.288916 16:0.28404 17:0.293838 18:0.272862 19:0.238649 20:0.236651 21:0.253706 22:0.228893 23:0.259317 24:0.27853 25:0.261396 26:0.374779 27:0.351619 28:0.0722017 29:0.218083 30:0.282612 31:0.28353 32:0.245866 33:0.25262 34:0.248486 35:0.309174 36:0.277886 37:0.291503 38:0.297795 39:0.252464 40:0.295936 41:0.323468 42:0.202097 43:0.28869 44:-0.111268 45:-0.00638865 46:0.0501354 47:-0.33837 48:-0.281657 49:-0.532844 50:-0.705405 51:0.376918 52:0.465998 53:0.296622 54:0.30581 55:0.268637 56:0.321714 57:0.353289 58:0.316329 59:0.391221 60:-0.111374 61:0.0352367 62:0.0180186 63:-0.308172 64:-0.33036 65:-0.688394 66:-0.594305 67:0.398659 68:0.40056 69:0.264453 70:0.275884 71:0.241357 72:0.299181 73:0.330648 74:0.216905 75:0.27005 76:-0.150276 77:-0.169111 78:-0.123371 79:-0.431302 80:-0.535534 81:-0.850875 82:-0.398203 83:0.483544 84:0.46454 85:0.0787425 86:0.0867448 87:0.0511789 88:0.103413 89:0.127636 90:-0.00359689 91:0.0248534 92:-0.422851 93:-0.466593 94:-0.455418 95:-0.723374 96:-0.786698 97:-0.588241 98:0.0454836 99:0.561201 100:0.491929 101:-0.145799 102:-0.138947 103:-0.169294 104:-0.124088 105:-0.10361 106:-0.232686 107:-0.209244 108:-0.688045 109:-0.695451 110:-0.687546 111:-0.873269 112:-0.777869 113:-0.442259 114:0.140206 115:0.507213 116:0.382825
-1 1:-1 2:-1 3:-1 4:-1 5:1 6:-1 7:0.280759 8:0.215517 9:0.237569 10:0.270409 11:0.246138 12:0.229137 13:0.282903 14:0.288916 15:0.28404 16:0.293838 17:0.272862 18:0.238649 19:0.236651 20:0.253706 21:0.228893 22:0.259317 23:0.27853 24:0.261396 25:0.374779 26:0.351619 27:0.0722017 28:0.218083 29:0.282612 30:0.28353 31:0.245866 32:0.25262 33:0.248486 34:0.309174 35:0.277886 36:0.279107 37:0.297795 38:0.252464 39:0.295936 40:0.323468 41:0.308657 42:0.253455 43:0.273573 44:-0.160043 45:0.0424167 46:-0.00613186 47:-0.321526 48:-0.370473 49:-0.577039 50:-0.595534 51:0.404342 52:0.457205 53:0.30581 54:0.268637 55:0.321714 56:0.353289 57:0.342295 58:0.366137 59:0.363679 60:-0.155736 61:0.0862849 62:-0.0694093 63:-0.288277 64:-0.416255 65:-0.728483 66:-0.469907 67:0.409135 68:0.394985 69:0.275885 70:0.241358 71:0.299182 72:0.330648 73:0.317114 74:0.257232 75:0.232588 76:-0.190257 77:-0.131942 78:-0.21347 79:-0.421914 80:-0.608385 81:-0.867564 82:-0.275027 83:0.482479 84:0.463343 85:0.0868301 86:0.0513009 87:0.103557 88:0.127757 89:0.108036 90:0.0249076 91:-0.021659 92:-0.463795 93:-0.441991 94:-0.541627 95:-0.712166 96:-0.834722 97:-0.573424 98:0.14613 99:0.556073 100:0.491844 101:-0.138325 102:-0.168723 103:-0.123557 104:-0.103153 105:-0.120563 106:-0.208823 107:-0.248782 108:-0.719069 109:-0.671674 110:-0.754779 111:-0.85538 112:-0.805475 113:-0.420445 114:0.222842 115:0.497922 116:0.376059
-1 1:-1 2:-1 3:-1 4:1 5:-1 6:-1 7:0.215517 8:0.237569 9:0.270409 10:0.246138 11:0.229137 12:0.282903 13:0.288916 14:0.28404 15:0.293838 16:0.272862 17:0.238649 18:0.236651 19:0.253706 20:0.228893 21:0.259317 22:0.27853 23:0.261396 24:0.374779 25:0.351619 26:0.0722017 27:0.218083 28:0.282612 29:0.28353 30:0.245866 31:0.25262 32:0.248486 33:0.309174 34:0.277886 35:0.279107 36:0.196766 37:0.252464 38:0.295936 39:0.323468 40:0.308657 41:0.327907 42:0.28869 43:0.249604 44:-0.183823 45:0.0912018 46:-0.186718 47:-0.190292 48:-0.459131 49:-0.592832 50:-0.515104 51:0.433542 52:0.413693 53:0.268637 54:0.321714 55:0.353289 56:0.342295 57:0.365504 58:0.391221 59:0.32891 60:-0.169742 61:0.127642 62:-0.254593 63:-0.188458 64:-0.490717 65:-0.750761 66:-0.368312 67:0.416234 68:0.367033 69:0.241359 70:0.299183 71:0.330649 72:0.317115 73:0.337863 74:0.270051 75:0.190201 76:-0.204795 77:-0.109106 78:-0.370806 79:-0.356812 80:-0.666909 81:-0.869397 82:-0.171958 83:0.478292 84:0.451159 85:0.0513819 86:0.103676 87:0.127896 88:0.108155 89:0.120845 90:0.0255499 91:-0.070972 92:-0.48182 93:-0.431912 94:-0.679277 95:-0.656324 96:-0.867584 97:-0.548108 98:0.229904 99:0.548659 100:0.485991 101:-0.168097 102:-0.122974 103:-0.102615 104:-0.120099 105:-0.109537 106:-0.208783 107:-0.289863 108:-0.730484 109:-0.66013 110:-0.862764 111:-0.8007 112:-0.820189 113:-0.390855 114:0.290741 115:0.486872 116:0.364748
1 1:-1 2:-1 3:1 4:-1 5:-1 6:-1 7:0.237569 8:0.270409 9:0.246138 10:0.229137 11:0.282903 12:0.288916 13:0.28404 14:0.293838 15:0.272862 16:0.238649 17:0.236651 18:0.253706 19:0.228893 20:0.259317 21:0.27853 22:0.261396 23:0.374779 24:0.351619 25:0.0722017 26:0.218083 27:0.282612 28:0.28353 29:0.245866 30:0.25262 31:0.248486 32:0.309174 33:0.277886 34:0.279107 35:0.196766 36:0.170806 37:0.295936 38:0.323468 39:0.308657 40:0.327907 41:0.38583 42:0.273573 43:0.208055 44:-0.177674 45:0.137631 46:-0.242589 47:-0.174226 48:-0.517854 49:-0.600156 50:-0.45128 51:0.435008 52:0.379503 53:0.321714 54:0.353289 55:0.342295 56:0.365504 57:0.419542 58:0.363679 59:0.281622 60:-0.152804 61:0.155151 62:-0.305839 63:-0.195268 64:-0.530871 65:-0.769329 66:-0.278111 67:0.404752 68:0.355669 69:0.299184 70:0.33065 71:0.317116 72:0.337863 73:0.385808 74:0.23259 75:0.139101 76:-0.195753 77:-0.103849 78:-0.415606 79:-0.378221 80:-0.694944 81:-0.86604 82:-0.0803131 83:0.463008 84:0.441129 85:0.10372 86:0.127974 87:0.108253 88:0.120919 89:0.157396 90:-0.021027 91:-0.126244 92:-0.479841 93:-0.438524 94:-0.715561 95:-0.673732 96:-0.873415 97:-0.518804 98:0.302596 99:0.533079 100:0.479985 101:-0.122337 102:-0.102022 103:-0.119553 104:-0.109066 105:-0.0784467 106:-0.248271 107:-0.335023 108:-0.724989 109:-0.662274 110:-0.884824 111:-0.807022 112:-0.812802 113:-0.358277 114:0.348972 115:0.469947 116:0.354705
-1 1:-1 2:1 3:-1 4:-1 5:-1 6:-1 7:0.270409 8:0.246138 9:0.229137 10:0.282903 11:0.288916 12:0.28404 13:0.293838 14:0.272862 15:0.238649 16:0.236651 17:0.253706 18:0.228893 19:0.259317 20:0.27853 21:0.261396 22:0.374779 23:0.351619 24:0.0722017 25:0.218083 26:0.282612 27:0.28353 28:0.245866 29:0.25262 30:0.248486 31:0.309174 32:0.277886 33:0.279107 34:0.196766 35:0.170806 36:0.158523 37:0.323468 38:0.308657 39:0.327907 40:0.38583 41:0.380854 42:0.249604 43:0.158441 44:-0.12263 45:0.172253 46:-0.281261 47:-0.180591 48:-0.524281 49:-0.68374 50:-0.36508 51:0.429043 52:0.361106 53:0.353289 54:0.342295 55:0.365504 56:0.419542 57:0.404406 58:0.32891 59:0.234709 60:-0.0947913 61:0.158609 62:-0.331718 63:-0.225297 64:-0.524027 65:-0.830438 66:-0.173566 67:0.38684 68:0.354408 69:0.330651 70:0.317117 71:0.337864 72:0.385808 73:0.359699 74:0.190202 75:0.0922757 76:-0.158246 77:-0.124201 78:-0.43802 79:-0.417614 80:-0.685629 81:-0.886205 82:0.0172614 83:0.444132 84:0.435085 85:0.127993 86:0.108304 87:0.120988 88:0.157438 89:0.121834 90:-0.0704407 91:-0.17499 92:-0.455021 93:-0.467731 94:-0.730924 95:-0.70465 96:-0.84821 97:-0.50273 98:0.375624 99:0.515025 100:0.474592 101:-0.101374 102:-0.118952 103:-0.10851 104:-0.0779649 105:-0.109441 106:-0.289296 107:-0.373682 108:-0.700601 109:-0.682689 110:-0.888816 111:-0.823917 112:-0.780629 113:-0.335533 114:0.406558 115:0.45163 116:0.346142
-1 1:1 2:-1 3:-1 4:-1 5:-1 6:-1 7:0.246138 8:0.229137 9:0.282903 10:0.288916 11:0.28404 12:0.293838 13:0.272862 14:0.238649 15:0.236651 16:0.253706 17:0.228893 18:0.259317 19:0.27853 20:0.261396 21:0.374779 22:0.351619 23:0.0722017 24:0.218083 25:0.282612 26:0.28353 27:0.245866 28:0.25262 29:0.248486 30:0.309174 31:0.277886 32:0.279107 33:0.196766 34:0.170806 35:0.158523 36:0.273024 37:0.308657 38:0.327907 39:0.38583 40:0.380854 41:0.363114 42:0.208055 43:0.14677 44:-0.061602 45:0.0997736 46:-0.243224 47:-0.216753 48:-0.501109 49:-0.788564 50:-0.249554 51:0.418514 52:0.337868 53:0.342295 54:0.365504 55:0.419542 56:0.404406 57:0.376827 58:0.281622 59:0.231101 60:-0.0414252 61:0.0556806 62:-0.285135 63:-0.280962 64:-0.493192 65:-0.894251 66:-0.0540239 67:0.364182 68:0.350344 69:0.317118 70:0.337865 71:0.385809 72:0.3597 73:0.321995 74:0.139102 75:0.0881881 76:-0.129725 77:-0.239638 78:-0.405127 79:-0.474901 80:-0.659142 81:-0.901742 82:0.119677 83:0.422761 84:0.42669 85:0.108308 86:0.121025 87:0.15749 88:0.121863 89:0.0765755 90:-0.125776 91:-0.182184 92:-0.439946 93:-0.577228 94:-0.699112 95:-0.747979 96:-0.809424 97:-0.482054 98:0.448076 99:0.495732 100:0.468401 101:-0.118389 102:-0.107993 103:-0.077496 104:-0.109048 105:-0.148168 106:-0.334511 107:-0.376702 108:-0.684692 109:-0.768497 110:-0.853713 111:-0.850493 112:-0.738121 113:-0.309575 114:0.462341 115:0.43235 116:0.336818
1 1:-1 2:-1 3:-1 4:-1 5:-1 6:1 7:0.229137 8:0.282903 9:0.288916 10:0.28404 11:0.293838 12:0.272862 13:0.238649 14:0.236651 15:0.253706 16:0.228893 17:0.259317 18:0.27853 19:0.261396 20:0.374779 21:0.351619 22:0.0722017 23:0.218083 24:0.282612 25:0.28353 26:0.245866 27:0.25262 28:0.248486 29:0.309174 30:0.277886 31:0.279107 32:0.196766 33:0.170806 34:0.158523 35:0.273024 36:0.265699 37:0.327907 38:0.38583 39:0.380854 40:0.363114 41:0.344837 42:0.158441 43:0.170438 44:-0.0137018 45:-0.0876993 46:-0.115216 47:-0.265342 48:-0.455289 49:-0.893137 50:-0.109548 51:0.386527 52:0.290144 53:0.365504 54:0.419542 55:0.404406 56:0.376827 57:0.350483 58:0.234709 59:0.261946 60:-0.011739 61:-0.137951 62:-0.170421 63:-0.344969 64:-0.447929 65:-0.94438 66:0.07218 67:0.328689 68:0.335358 69:0.337866 70:0.385809 71:0.3597 72:0.321995 73:0.287496 74:0.0922758 75:0.114944 76:-0.124408 77:-0.426063 78:-0.326175 79:-0.535308 80:-0.624426 81:-0.901653 82:0.21965 83:0.39443 84:0.411678 85:0.120958 86:0.157452 87:0.121839 88:0.076526 89:0.0360581 90:-0.17465 91:-0.161201 92:-0.44616 93:-0.741431 94:-0.630877 95:-0.790982 96:-0.765131 97:-0.450669 98:0.514507 99:0.471677 100:0.461113 101:-0.107679 102:-0.077231 103:-0.108839 104:-0.14804 105:-0.18226 106:-0.373563 107:-0.356142 108:-0.686786 109:-0.897546 110:-0.789348 111:-0.876233 112:-0.69203 113:-0.276129 114:0.511924 115:0.409376 116:0.327338
-1 1:-1 2:-1 3:-1 4:-1 5:1 6:-1 7:0.282903 8:0.288916 9:0.28404 10:0.293838 11:0.272862 12:0.238649 13:0.236651 14:0.253706 15:0.228893 16:0.259317 17:0.27853 18:0.261396 19:0.374779 20:0.351619 21:0.0722017 22:0.218083 23:0.282612 24:0.28353 25:0.245866 26:0.25262 27:0.248486 28:0.309174 29:0.277886 30:0.279107 31:0.196766 32:0.170806 33:0.158523 34:0.273024 35:0.265699 36:0.265755 37:0.38583 38:0.380854 39:0.363114 40:0.344837 41:0.30068 42:0.14677 43:0.188819 44:0.0501354 45:-0.165049 46:-0.104173 47:-0.371533 48:-0.374438 49:-0.943182 50:-0.0125006 51:0.351571 52:0.289499 53:0.419542 54:0.404406 55:0.376827 56:0.350483 57:0.303489 58:0.231101 59:0.284985 60:0.0180186 61:-0.19903 62:-0.177585 63:-0.446931 64:-0.384308 65:-0.94913 66:0.158888 67:0.291507 68:0.349883 69:0.38581 70:0.3597 71:0.321995 72:0.287495 73:0.234949 74:0.0881868 75:0.131511 76:-0.123344 77:-0.479819 78:-0.347572 79:-0.619275 80:-0.580075 81:-0.866418 82:0.285862 83:0.366373 84:0.415885 85:0.157379 86:0.121793 87:0.0764963 88:0.0360021 89:-0.0195304 90:-0.181964 91:-0.15126 92:-0.456637 93:-0.782806 94:-0.650029 95:-0.849659 96:-0.714407 97:-0.397086 98:0.555519 99:0.448715 100:0.464248 101:-0.0768677 102:-0.10853 103:-0.147783 104:-0.182081 105:-0.228419 106:-0.376843 107:-0.345072 108:-0.692118 109:-0.922901 110:-0.797732 111:-0.913832 112:-0.64124 113:-0.226405 114:0.540673 115:0.387899 116:0.32677
